11,北京市,0,116.39564503788,39.92998577808
12,天津市,0,117.21081309155,39.14392990331
13,河北省,0,115.66143362422,38.613839749251
14,山西省,0,112.51549586384,37.866565990509
15,内蒙古自治区,0,114.41586754817,43.468238221949
21,辽宁省,0,122.75359155772,41.621600105958
22,吉林省,0,126.26287593078,43.678846185241
23,黑龙江省,0,128.04741371499,47.356591643111
31,上海市,0,121.48789948569,31.249161710015
32,江苏省,0,119.36848893836,33.013797169954
33,浙江省,0,119.95720242066,29.159494120761
34,安徽省,0,117.21600520757,31.859252417079
35,福建省,0,117.98494311991,26.050118295661
36,江西省,0,115.6760823667,27.757258443441
37,山东省,0,118.52766339288,36.099289929728
41,河南省,0,113.48680405753,34.157183767956
42,湖北省,0,112.41056219213,31.20931625014
43,湖南省,0,111.72066354648,27.695864052356
44,广东省,0,113.39481755876,23.408003729025
45,广西壮族自治区,0,108.92427442706,23.552254688119
46,海南省,0,109.73375548794,19.180500801261
50,重庆市,0,106.53063501341,29.544606108886
51,四川省,0,102.8991597236,30.367480937958
52,贵州省,0,106.7349961033,26.902825927797
53,云南省,0,101.59295163701,24.864212795483
54,西藏自治区,0,89.137981684031,31.367315402715
61,陕西省,0,109.50378929073,35.860026261323
62,甘肃省,0,102.45762459934,38.103267343752
63,青海省,0,96.202543672261,35.499761004275
64,宁夏回族自治区,0,106.15548126505,37.321323112295
65,新疆维吾尔自治区,0,85.614899338339,42.127000957642
71,台湾省,0,121.97387097872,24.086956718805
81,香港特别行政区,0,114.18612410257,22.29358599328
82,澳门特别行政区,0,113.55751910182,22.204117988443
1101,市辖区,11,116.39564503788,39.92998577808
1201,市辖区,12,117.21081309155,39.14392990331
1301,石家庄市,13,114.52208184421,38.048958314615
1302,唐山市,13,118.18345059773,39.650530922537
1303,秦皇岛市,13,119.60436761612,39.945461565898
1304,邯郸市,13,114.48269393234,36.609307928471
1305,邢台市,13,114.52048681294,37.069531196912
1306,保定市,13,115.49481016908,38.886564548027
1307,张家口市,13,114.89378153033,40.811188491103
1308,承德市,13,117.93382245584,40.992521052457
1309,沧州市,13,116.86380647644,38.297615350326
1310,廊坊市,13,116.70360222264,39.518610625085
1311,衡水市,13,115.68622865291,37.746929045857
1390,省直辖县级行政区划,13,115.66143362422,38.613839749251
1401,太原市,14,112.55086358906,37.890277053968
1402,大同市,14,113.29050867308,40.113744499705
1403,阳泉市,14,113.56923760163,37.869529493223
1404,长治市,14,113.12029208573,36.201664385743
1405,晋城市,14,112.86733275751,35.499834467226
1406,朔州市,14,112.47992772666,39.337671966221
1407,晋中市,14,112.73851439992,37.693361526798
1408,运城市,14,111.00685365308,35.038859479812
1409,忻州市,14,112.72793882881,38.461030572959
1410,临汾市,14,111.53878759641,36.099745443585
1411,吕梁市,14,111.14315660235,37.527316096963
1501,呼和浩特市,15,111.66035052005,40.828318873082
1502,包头市,15,109.84623853249,40.647119425709
1503,乌海市,15,106.83199909716,39.683177006785
1504,赤峰市,15,118.93076119217,42.297112320317
1505,通辽市,15,122.26036326322,43.633756072996
1506,鄂尔多斯市,15,109.99370625145,39.816489560602
1507,呼伦贝尔市,15,119.760821794,49.201636054604
1508,巴彦淖尔市,15,107.42380671968,40.769179902429
1509,乌兰察布市,15,113.11284639068,41.022362946751
1522,兴安盟,15,122.04816651407,46.083757065182
1525,锡林郭勒盟,15,116.02733968896,43.939704842324
1529,阿拉善盟,15,105.69568287113,38.843075264408
2101,沈阳市,21,123.43279092161,41.808644783516
2102,大连市,21,121.59347778144,38.948709938304
2103,鞍山市,21,123.00776332888,41.118743682153
2104,抚顺市,21,123.92981976705,41.877303829591
2105,本溪市,21,123.77806236979,41.325837626649
2106,丹东市,21,124.33854311477,40.129022826638
2107,锦州市,21,121.14774873824,41.130878875917
2108,营口市,21,122.23339137079,40.668651066474
2109,阜新市,21,121.66082212857,42.01925010706
2110,辽阳市,21,123.17245120515,41.273339265569
2111,盘锦市,21,122.07322781023,41.141248022956
2112,铁岭市,21,123.85484961462,42.299757012125
2113,朝阳市,21,120.44616270274,41.571827667857
2114,葫芦岛市,21,120.86075764476,40.743029881318
2201,长春市,22,125.3136424272,43.898337607098
2202,吉林市,22,126.56454398883,43.871988334359
2203,四平市,22,124.39138207368,43.175524701126
2204,辽源市,22,125.13368605218,42.923302619054
2205,通化市,22,125.94265013851,41.736397129868
2206,白山市,22,126.43579767535,41.945859397018
2207,松原市,22,124.83299453234,45.136048970084
2208,白城市,22,122.8407766791,45.621086275219
2224,延边朝鲜族自治州,22,129.48590195816,42.896413603744
2301,哈尔滨市,23,126.65771685545,45.773224633239
2302,齐齐哈尔市,23,123.98728894217,47.347699813366
2303,鸡西市,23,130.94176727325,45.321539886551
2304,鹤岗市,23,130.29247205063,47.338665903727
2305,双鸭山市,23,131.17140173958,46.655102062482
2306,大庆市,23,125.02183973021,46.596709020008
2307,伊春市,23,128.91076597792,47.734685075079
2308,佳木斯市,23,130.28473458595,46.81377960474
2309,七台河市,23,131.01904804712,45.77500536864
2310,牡丹江市,23,129.60803539564,44.588521152783
2311,黑河市,23,127.50083029524,50.250690090738
2312,绥化市,23,126.98909457163,46.646063926997
2327,大兴安岭地区,23,124.19610419017,51.991788968014
3101,市辖区,31,121.48789948569,31.249161710015
3201,南京市,32,118.77807440803,32.057235501806
3202,无锡市,32,120.30545590054,31.570037451923
3203,徐州市,32,117.18810662318,34.271553431092
3204,常州市,32,119.98186101346,31.771396744684
3205,苏州市,32,120.61990711549,31.317987367952
3206,南通市,32,120.87380095093,32.014664540823
